Datetime,Symbl,Price
2023-09-26 10:45:00.626284,^NSEI,19678.849609375
2023-09-26 10:45:02.019075,^NSEI,19678.650390625
2023-09-26 10:45:03.292401,^NSEI,19679.0
2023-09-26 10:45:04.625722,^NSEI,19678.19921875
2023-09-26 10:45:05.926910,^NSEI,19678.25
2023-09-26 10:45:07.343896,^NSEI,19678.400390625
2023-09-26 10:45:08.641742,^NSEI,19678.44921875
2023-09-26 10:45:10.002224,^NSEI,19678.150390625
2023-09-26 10:45:11.425719,^NSEI,19678.25
2023-09-26 10:45:12.705722,^NSEI,19677.599609375
2023-09-26 10:45:13.971315,^NSEI,19677.650390625
2023-09-26 10:45:15.269670,^NSEI,19677.849609375
2023-09-26 10:45:16.556563,^NSEI,19678.0
2023-09-26 10:45:17.932161,^NSEI,19678.0
2023-09-26 10:45:19.304430,^NSEI,19677.94921875
2023-09-26 10:45:20.557418,^NSEI,19678.05078125
2023-09-26 10:45:21.913541,^NSEI,19678.5
2023-09-26 10:45:23.217717,^NSEI,19678.599609375
2023-09-26 10:45:24.541776,^NSEI,19678.05078125
2023-09-26 10:45:25.909726,^NSEI,19678.19921875
2023-09-26 10:45:27.270716,^NSEI,19678.400390625
2023-09-26 10:45:28.685773,^NSEI,19678.69921875
2023-09-26 10:45:29.885158,^NSEI,19679.150390625
2023-09-26 10:45:31.253291,^NSEI,19678.94921875
2023-09-26 10:45:32.533493,^NSEI,19679.05078125
2023-09-26 10:45:33.779586,^NSEI,19679.30078125
2023-09-26 10:45:35.076318,^NSEI,19679.25
2023-09-26 10:45:36.397734,^NSEI,19678.900390625
2023-09-26 10:45:37.672798,^NSEI,19679.05078125
2023-09-26 10:45:38.889920,^NSEI,19679.900390625
2023-09-26 10:45:40.193092,^NSEI,19679.900390625
2023-09-26 10:45:41.520089,^NSEI,19679.349609375
2023-09-26 10:45:42.729705,^NSEI,19679.80078125
2023-09-26 10:45:44.219566,^NSEI,19679.25
2023-09-26 10:45:45.537440,^NSEI,19679.80078125
2023-09-26 10:45:46.835473,^NSEI,19679.30078125
2023-09-26 10:45:48.137742,^NSEI,19678.900390625
2023-09-26 10:45:49.336966,^NSEI,19678.900390625
2023-09-26 10:45:50.640076,^NSEI,19679.099609375
2023-09-26 10:45:51.826159,^NSEI,19679.69921875
2023-09-26 10:45:53.113431,^NSEI,19680.19921875
2023-09-26 10:45:54.478174,^NSEI,19680.05078125
2023-09-26 10:45:55.961799,^NSEI,19680.19921875
2023-09-26 10:45:57.282895,^NSEI,19680.19921875
2023-09-26 10:45:59.018836,^NSEI,19680.55078125
2023-09-26 10:46:00.381382,^NSEI,19680.099609375
2023-09-26 10:46:01.801677,^NSEI,19680.19921875
2023-09-26 10:46:03.308908,^NSEI,19679.75
2023-09-26 10:46:05.266180,^NSEI,19679.599609375
2023-09-26 10:46:06.617769,^NSEI,19680.05078125
2023-09-26 10:46:07.969759,^NSEI,19680.19921875
2023-09-26 10:46:09.228953,^NSEI,19680.599609375
2023-09-26 10:46:10.590181,^NSEI,19680.650390625
2023-09-26 10:46:11.916133,^NSEI,19680.849609375
2023-09-26 10:46:13.323119,^NSEI,19680.94921875
2023-09-26 10:46:14.607884,^NSEI,19680.650390625
2023-09-26 10:46:15.899330,^NSEI,19680.900390625
2023-09-26 10:46:17.403248,^NSEI,19680.44921875
2023-09-26 10:46:18.857104,^NSEI,19681.150390625
2023-09-26 10:46:20.273109,^NSEI,19680.80078125
2023-09-26 10:46:21.560907,^NSEI,19681.44921875
2023-09-26 10:46:22.820229,^NSEI,19680.599609375
2023-09-26 10:46:24.204476,^NSEI,19680.849609375
2023-09-26 10:46:25.507757,^NSEI,19681.0
2023-09-26 10:46:26.788983,^NSEI,19681.80078125
2023-09-26 10:46:28.130368,^NSEI,19680.849609375
2023-09-26 10:46:29.367371,^NSEI,19681.25
2023-09-26 10:46:30.667240,^NSEI,19681.05078125
2023-09-26 10:46:32.001676,^NSEI,19681.44921875
2023-09-26 10:46:33.391313,^NSEI,19681.25
2023-09-26 10:46:34.609211,^NSEI,19680.400390625
2023-09-26 10:46:36.079312,^NSEI,19680.19921875
2023-09-26 10:46:37.372487,^NSEI,19679.94921875
2023-09-26 10:46:38.694470,^NSEI,19680.19921875
2023-09-26 10:46:40.026611,^NSEI,19680.25
2023-09-26 10:46:41.338993,^NSEI,19680.30078125
2023-09-26 10:46:42.497120,^NSEI,19680.0
2023-09-26 10:46:43.923242,^NSEI,19679.94921875
2023-09-26 10:46:45.201683,^NSEI,19679.94921875
2023-09-26 10:46:46.469671,^NSEI,19679.150390625
2023-09-26 10:46:47.836596,^NSEI,19678.599609375
2023-09-26 10:46:49.236568,^NSEI,19679.25
2023-09-26 10:46:50.515059,^NSEI,19679.25
2023-09-26 10:46:51.926023,^NSEI,19679.19921875
2023-09-26 10:46:53.183673,^NSEI,19679.55078125
2023-09-26 10:46:54.432803,^NSEI,19678.650390625
2023-09-26 10:46:56.013678,^NSEI,19678.75
2023-09-26 10:46:57.374983,^NSEI,19679.30078125
2023-09-26 10:46:58.643712,^NSEI,19679.25
2023-09-26 10:47:00.043297,^NSEI,19680.150390625
2023-09-26 10:47:01.330839,^NSEI,19680.30078125
2023-09-26 10:47:02.703872,^NSEI,19680.0
2023-09-26 10:47:03.999874,^NSEI,19680.0
2023-09-26 10:47:05.273692,^NSEI,19679.849609375
2023-09-26 10:47:06.538422,^NSEI,19679.55078125
2023-09-26 10:47:07.848546,^NSEI,19681.099609375
2023-09-26 10:47:09.163152,^NSEI,19681.349609375
2023-09-26 10:47:10.447504,^NSEI,19680.75
2023-09-26 10:47:11.697678,^NSEI,19680.900390625
2023-09-26 10:47:12.961121,^NSEI,19680.75
2023-09-26 10:47:14.146160,^NSEI,19680.75
2023-09-26 10:47:15.484430,^NSEI,19680.69921875
2023-09-26 10:47:16.724012,^NSEI,19680.80078125
2023-09-26 10:47:18.145185,^NSEI,19680.099609375
2023-09-26 10:47:19.562924,^NSEI,19679.900390625
2023-09-26 10:47:20.941734,^NSEI,19679.75
2023-09-26 10:47:22.232322,^NSEI,19681.599609375
2023-09-26 10:47:23.603460,^NSEI,19681.44921875
2023-09-26 10:47:24.891535,^NSEI,19681.55078125
